Sample,Location,ASV1,ASV17,ASV30,ASV75,ASV299,ASV302,ASV317,ASV329,ASV370,ASV505,ASV509,ASV526,ASV547,ASV614,ASV634,ASV643,ASV680,ASV709,ASV715,ASV736,ASV741,ASV780,ASV881,ASV892,ASV1111,ASV1135,ASV1424,ASV1498,ASV1644,ASV1691,ASV1744,ASV2132,ASV2177,ASV2180,ASV2243,ASV2395,ASV2459
A1_a,Lemoine_Pt,53802,9,54,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1_b,Lemoine_Pt,48927,182,69,16,6,7,6,3,4,2,0,1,4,0,1,1,2,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1_c,Lemoine_Pt,42493,11,39,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2_a,Murphy's_Pt,29967,12,28,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
A2_b,Murphy's_Pt,56912,949,156,22,53,25,5,17,23,22,4,13,10,6,1,2,0,0,1,0,1,10,0,0,20,3,0,0,1,0,0,0,0,0,0,0,0
A2_c,Murphy's_Pt,16332,12,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4_a,Murphy's_Pt,69771,11,55,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
A4_b,Murphy's_Pt,172059,995,322,65,29,26,49,33,34,16,25,10,22,27,15,17,22,0,0,3,23,3,1,0,1,1,0,0,0,1,0,0,0,7,0,5,5
A4_c,Murphy's_Pt,83127,43,60,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5_a,QUBS,69947,7,157,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A5_b,QUBS,52712,627,119,32,13,21,30,13,16,3,10,6,14,2,15,7,10,7,0,4,2,7,7,0,6,10,0,0,0,0,0,0,0,0,0,0,0
A5_c,QUBS,60528,4,82,30,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B1_a,Lemoine_Pt,42390,16,38,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0
B1_b,Lemoine_Pt,30728,224,46,14,5,3,2,5,0,0,2,0,2,1,3,4,0,0,0,0,1,2,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0
B1_c,Lemoine_Pt,32350,9,30,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
B2_a,Murphy's_Pt,91488,77,74,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B2_b,Murphy's_Pt,34713,123,29,17,2,1,1,3,4,0,0,1,0,3,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
B2_c,Murphy's_Pt,78655,61,98,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_a,Murphy's_Pt,106712,16,90,50,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B3_b,Murphy's_Pt,103383,157,87,40,5,6,3,0,7,0,1,1,1,2,1,1,1,12,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B3_c,Murphy's_Pt,99951,10,96,29,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4_a,Murphy's_Pt,62270,10,61,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
B4_b,Murphy's_Pt,73252,629,88,47,13,26,13,14,10,21,1,14,7,1,0,20,9,0,0,12,5,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
B4_c,Murphy's_Pt,64480,18,66,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5_a,QUBS,8875,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1_a,Lemoine_Pt,61727,23,52,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1_b,Lemoine_Pt,55045,338,90,23,21,11,12,13,4,11,4,2,9,3,2,14,7,0,0,3,8,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1_c,Lemoine_Pt,71957,23,63,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2_a,Murphy's_Pt,88739,8,81,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0
C2_b,Murphy's_Pt,57201,112,61,17,0,1,3,3,6,1,1,0,0,0,2,0,2,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2_c,Murphy's_Pt,103144,8,96,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3_a,Murphy's_Pt,102317,15,97,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C3_b,Murphy's_Pt,97249,213,117,27,3,5,3,9,5,1,3,0,2,2,2,4,0,0,0,3,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
C3_c,Murphy's_Pt,93895,18,98,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4_a,Murphy's_Pt,2503,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4_b,Murphy's_Pt,73403,1184,162,79,34,32,46,40,26,27,41,18,10,21,26,5,15,0,1,30,7,18,8,0,2,0,1,34,0,12,0,0,0,0,9,0,0
C4_c,Murphy's_Pt,2999,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5_a,QUBS,58773,6,58,30,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5_b,QUBS,111745,61,98,48,2,3,1,0,0,0,0,0,0,1,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5_c,QUBS,106421,22,129,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1_a,Lemoine_Pt,125486,8,110,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0
D1_b,Lemoine_Pt,41866,27,32,20,2,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1_c,Lemoine_Pt,50149,2,45,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
