	38F	38M	42F	45F		
[Mycobacterium] stephanolepidis;elongation factor Tu [Mycolicibacterium sp. P1-18];TRINITY_DN6523_c0_g1_i1	0	1	1	0		# of individuals this transcript was found in 
Anaplasma phagocytophilum;hypothetical protein [Anaplasma phagocytophilum];TRINITY_DN303_c0_g1_i1	0	0	0	5		
Anaplasma phagocytophilum;hypothetical protein [Anaplasma phagocytophilum];TRINITY_DN6359_c0_g1_i1	0	0	8	0		
Anaplasma phagocytophilum;hypothetical protein ANAPC5_01338 [Anaplasma phagocytophilum];TRINITY_DN861_c0_g1_i2	1	5	11	5		
Anaplasma phagocytophilum;hypothetical protein ANAPC5_01347 [Anaplasma phagocytophilum];TRINITY_DN1653_c0_g1_i1	1	0	1	6		
Anaplasma phagocytophilum;hypothetical protein ANAPC5_01347 [Anaplasma phagocytophilum];TRINITY_DN1758_c1_g2_i2	0	0	9	2		
Anaplasma phagocytophilum;hypothetical protein ANAPC5_01375 [Anaplasma phagocytophilum];TRINITY_DN1539_c0_g2_i1	0	1	0	0		
Anaplasma phagocytophilum;hypothetical protein ANAPC5_01401 [Anaplasma phagocytophilum];TRINITY_DN349_c0_g1_i1	0	0	1	0		
Anaplasma phagocytophilum;hypothetical protein ANAPC5_01401 [Anaplasma phagocytophilum];TRINITY_DN4165_c0_g1_i1	0	0	4	0		
Anaplasma phagocytophilum;hypothetical protein ANAPC5_01449 [Anaplasma phagocytophilum];TRINITY_DN2755_c0_g1_i1	0	0	1	1		
Anaplasma phagocytophilum;hypothetical protein ANAPC5_01497 [Anaplasma phagocytophilum];TRINITY_DN5232_c0_g1_i1	2	0	0	0		
Anaplasma phagocytophilum;hypothetical protein ANAPRD1_01206 [Anaplasma phagocytophilum];TRINITY_DN4176_c0_g1_i1	1	0	2	0		
Anaplasma phagocytophilum;hypothetical protein ANAPRD1_01258 [Anaplasma phagocytophilum];TRINITY_DN2953_c0_g1_i1	1	0	2	0		
Anaplasma phagocytophilum;hypothetical protein partial [Anaplasma phagocytophilum];TRINITY_DN4633_c0_g1_i1	0	0	1	0		
Anaplasma phagocytophilum;hypothetical protein partial [Anaplasma phagocytophilum];TRINITY_DN681_c0_g1_i1	0	0	0	0		
Anaplasma phagocytophilum;hypothetical protein partial [Anaplasma phagocytophilum];TRINITY_DN681_c0_g1_i2	0	0	0	0		
Anaplasma phagocytophilum;hypothetical protein partial [Anaplasma phagocytophilum];TRINITY_DN849_c0_g1_i1	0	2	0	0		
bacterium endosymbiont of Escarpia laminata;hypothetical protein DJ031_00205 partial [bacterium endosymbiont of Escarpia laminata];TRINITY_DN3018_c0_g1_i1	0	0	1	0		
Blastomonas sp. CCH5-A3;FMN-binding glutamate synthase family protein [Blastomonas sp. CCH5-A3];TRINITY_DN4616_c0_g1_i1	1	0	0	1		
Borrelia miyamotoi;elongation factor Tu partial [Borreliella garinii];TRINITY_DN3498_c0_g1_i1	0	1	0	0		
Borreliella burgdorferi;0;TRINITY_DN3240_c0_g1_i1	0	0	0	4		
Borreliella burgdorferi;hypothetical protein L144_00245 [Borreliella burgdorferi CA382];TRINITY_DN2957_c0_g1_i1	0	0	0	3		
Borreliella burgdorferi;MULTISPECIES: 30S ribosomal protein S12 [Borreliella];TRINITY_DN7413_c0_g1_i1	0	0	0	2		
Borreliella burgdorferi;outer surface protein A partial [Borreliella burgdorferi];TRINITY_DN2707_c0_g1_i1	0	0	0	3		
Borreliella burgdorferi;outer surface protein B (ospB) (plasmid) [Borreliella burgdorferi];TRINITY_DN6660_c0_g1_i1	1	0	0	1		
Clostridia bacterium k32;hypothetical protein EYS13_17815 partial [Clostridia bacterium k32];TRINITY_DN306_c1_g2_i1	0	1	1	0		
Curtobacterium pusillum;0;TRINITY_DN2606_c0_g1_i1	1	0	0	0		
Gordonia sp. MMS17-SY73;Uncharacterised protein [Mycobacteroides abscessus subsp. abscessus];TRINITY_DN297_c0_g1_i1	3	0	0	0		
Methylorubrum extorquens;elongation factor Tu [Phyllobacterium salinisoli];TRINITY_DN5190_c0_g1_i1	0	0	0	1		
Mycolicibacterium rutilum;hypothetical protein MAP_1975 [Mycobacterium avium subsp. paratuberculosis K-10];TRINITY_DN1266_c0_g1_i1	0	0	2	0		
Rhodobacter sp. LPB142;0;TRINITY_DN4800_c0_g1_i1	2	0	0	0		
Rhodococcus rhodochrous;Chaperone protein DnaK (Hsp 70) [Mycobacteroides abscessus];TRINITY_DN2690_c0_g1_i1	1	0	0	0		
Rhodococcus ruber;0;TRINITY_DN3267_c0_g1_i1	1	0	0	0		
Rickettsia buchneri;0;TRINITY_DN464_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase [Rickettsia monacensis];TRINITY_DN2804_c0_g1_i1	0	0	1	2		
